City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,dzhebariki-khaya,62.22,135.8,-8.91,90,100,1.39,RU,1605815156
322,texarkana,33.43,-94.05,73.4,43,1,10.29,US,1605814976
323,dandong,40.13,124.39,27.64,85,0,15.28,CN,1605815157
324,batemans bay,-35.72,150.18,61.0,97,0,5.06,AU,1605815157
325,port-gentil,-0.72,8.78,77.0,94,40,11.41,GA,1605815157
326,mazamitla,19.92,-103.03,67.53,42,0,6.6,MX,1605815157
327,xining,36.62,101.77,31.69,90,100,1.14,CN,1605814997
328,killam,52.78,-111.85,8.6,84,100,12.75,CA,1605815103
329,santa rosa,14.31,121.11,79.0,83,20,4.7,PH,1605815157
330,uglegorskiy,48.24,41.25,21.72,95,0,10.92,RU,1605815157
331,atasu,48.68,71.64,1.08,90,0,4.0,KZ,1605815157
332,hasaki,35.73,140.83,70.0,77,75,10.29,JP,1605815157
333,luanda,-8.84,13.23,77.0,83,20,8.05,AO,1605815157
334,xai-xai,-25.05,33.64,73.87,84,100,18.03,MZ,1605815136
335,itanhaem,-24.18,-46.79,66.99,93,90,9.17,BR,1605815116
336,kuminskiy,58.67,66.57,21.63,88,35,13.02,RU,1605815158
337,denpasar,-8.65,115.22,82.4,88,40,2.24,ID,1605815158
338,kirakira,-10.45,161.92,82.09,82,100,12.64,SB,1605815158
339,voh,-20.97,164.7,75.36,66,21,6.67,NC,1605815158
340,port-cartier,50.03,-66.87,24.01,57,90,4.7,CA,1605815158
341,ola,59.58,151.28,5.9,86,82,12.37,RU,1605815158
342,kambove,-10.88,26.6,63.39,87,0,1.74,CD,1605815158
343,kyzyl-suu,42.34,78.01,22.28,81,3,6.26,KG,1605815158
344,urumqi,43.8,87.6,21.2,85,90,2.24,CN,1605814929
345,duarte,34.14,-117.98,71.01,52,0,5.28,US,1605814982
346,rawson,-43.3,-65.1,84.81,20,37,27.42,AR,1605815078
347,mount gambier,-37.83,140.77,57.2,82,90,11.41,AU,1605815158
348,sangar,63.92,127.47,-11.33,90,100,4.52,RU,1605815158
349,misratah,32.38,15.09,68.07,71,15,10.74,LY,1605815159
350,narragansett,41.45,-71.45,46.0,70,40,12.75,US,1605815159
351,elizabeth city,36.29,-76.25,57.0,55,1,5.82,US,1605815145
352,tawang,27.58,91.87,34.47,85,76,2.3,IN,1605815159
353,atbasar,51.8,68.33,10.44,96,69,7.9,KZ,1605815159
354,barpathar,26.3,93.87,60.58,87,0,0.96,IN,1605815159
355,mahabaleshwar,17.92,73.67,62.22,100,52,3.91,IN,1605815159
356,olga,43.74,135.29,31.93,98,100,10.29,RU,1605815159
357,malakal,9.53,31.66,80.83,28,0,2.55,SS,1605815159
358,bida,9.08,6.02,80.24,35,48,2.15,NG,1605815159
359,coaraci,-14.64,-39.55,82.4,88,75,5.82,BR,1605815160
360,miramar,25.99,-80.23,79.0,61,90,26.4,US,1605815077
361,anchorage,61.22,-149.9,12.2,78,1,5.1,US,1605815097
362,salym,60.06,71.48,17.85,91,44,11.14,RU,1605815160
363,inongo,-1.95,18.27,74.26,88,100,1.41,CD,1605815160
364,naryan-mar,67.67,53.09,36.64,97,100,20.85,RU,1605815160
365,zhob,31.34,69.45,43.38,59,0,2.37,PK,1605815160
366,los lunas,34.81,-106.73,77.0,17,1,14.99,US,1605815160
367,burnie,-41.07,145.92,57.99,75,41,5.01,AU,1605815160
368,tsumeb,-19.23,17.72,79.7,43,4,5.17,NA,1605815160
369,fomboni,-12.28,43.74,80.22,78,0,14.5,KM,1605815161
370,maldonado,-34.67,-54.92,66.99,55,20,11.41,UY,1605815161
371,deer lake,49.17,-57.43,24.8,73,90,12.75,CA,1605815161
372,changji,44.02,87.32,21.2,85,90,2.24,CN,1605815161
373,opuwo,-18.06,13.84,75.97,28,1,11.5,NA,1605815161
374,dunmore town,25.5,-76.65,76.19,71,0,26.57,BS,1605815161
375,ekhabi,53.51,142.97,22.91,92,26,12.39,RU,1605815162
376,bulakamba,-6.87,108.96,80.01,79,100,6.58,ID,1605815162
377,pisco,-13.7,-76.22,72.0,73,1,11.01,PE,1605815162
378,karatau,43.17,70.47,7.5,94,81,2.04,KZ,1605815162
379,samana,19.21,-69.34,77.0,94,75,6.85,DO,1605815162
380,okha,53.57,142.95,23.76,91,45,13.82,RU,1605815162
